Identificacao;Data_remocao;Situacao;Descricao;Cidade;Distrito;Regiao;Fonte;Mapeamento_anterior;Justificativa;Observacao;Tipologia;Propriedade;Proprietario;Familias_ameacadas;Familias_removidas;Movimento;Zoneamento;Inicio_ocupacao;Endereco;Latitude;Longitude;Links;;;;;;;;;;;;;
RUA ALEXANDRINA DA SILVEIRA BUENO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;CAMBUCI;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;81;;;ZEIS-3;2001;Rua Alexandrina da Silveira Bueno, 153, Se, Sao Paulo, SP, Brasil;-23.5650359;-46.6136336;;;;;;;;;;;;;;
RUA APA;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SANTA CECILIA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;26;;;ZEM;;Rua Apa, 198, Se, Sao Paulo, SP, Brasil;-23.5351709;-46.6521675;;;;;;;;;;;;;;
RUA BENJAMIN CONSTANT;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;USP;98;;MLSM- Movimento de Luta Social por Moradia;ZEIS-3;2015;Rua Benjamin Constant, 162, Se, Sao Paulo, SP, Brasil;-23.5498463;-46.63555989999999;;;;;;;;;;;;;;
RUA CABRAL DE MENEZES;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BUTANTA;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;30;;;ZM;2014;Rua Cabral de Menezes, 54, Butanta, Sao Paulo, SP, Brasil;-23.5770601;-46.73449650000001;;;;;;;;;;;;;;
RUA CAETANO PINTO 156;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BRAS;LESTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;20;;;ZEIS-3;;Rua Caetano Pinto, 156, Mooca, Sao Paulo, SP, Brasil;-23.547651;-46.6220159;;;;;;;;;;;;;;
RUA CAETANO PINTO 40;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BRAS;LESTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;32;;FLM;ZEIS-3;;Rua Caetano Pinto, 4, Mooca, Sao Paulo, SP, Brasil;-23.5466996;-46.6226773;;;;;;;;;;;;;;
RUA CAJURU;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BELEM;LESTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;30;;;ZC;;Rua Cajuru, Mooca, Sao Paulo, SP, Brasil;-23.5422653;-46.598087;;;;;;;;;;;;;;
RUA CAMARGO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BUTANTA;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;26;;;ZCOR-2;;Rua Camargo, 26, Butanta, Sao Paulo, SP, Brasil;-23.574435;-46.710766;;;;;;;;;;;;;;
RUA CAMILO CARREIRO;;AMEACA DE REMOCAO;Imoveis ocupados apos desapropriacao para construcao viaria da Operacao Urbana Agua Espraiada, obra que demorou a ter inicio.;SAO PAULO;JABAQUARA;SUL 1;Clipping;NAO;PARCERIAS PUBLICO PRIVADAS;OUC Agua Espraiada;EDIFICACAO;PUBLICA;PREFEITURA;12;;;;;Rua Camilo Carreiro;-23.654342;-46.649960;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://g1.globo.com/sp/sao-paulo/noticia/prefeitura-de-sp-desapropria-12-casas-nao-inicia-obras-e-imoveis-sao-ocupados.ghtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA CAPITAO OLIVEIRA CARVALHO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;JARAGUA;NORTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PUBLICA;;40;;;ZEIS-1;;Rua Capitao Oliveira Carvalho, 65, Pirituba / Jaragua, Sao Paulo, SP, Brasil;-23.4387883;-46.72996339999999;;;;;;;;;;;;;;
RUA CARLOS DE SOUZA NAZARE;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;43;;MMPT - Movimento de Moradia Para Todos;ZC;;Rua Carlos de Souza Nazare, 637, Se, Sao Paulo, SP, Brasil;-23.5398932;-46.62784810000001;;;;;;;;;;;;;;
RUA CHAPADA DE MINAS / VILA ANDRADE / CANTO DO RIO VERDE;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;CAMPO LIMPO;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;53;;;ZM;2011;Rua Chapada de Minas, Campo Limpo, Sao Paulo, SP, Brasil;-23.6264375;-46.7459397;;;;;;;;;;;;;;
RUA CLELIA;;AMEACA DE REMOCAO;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;LAPA;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PRIVADA;;10;;;ZEM;2017;Rua Clelia, 922, Lapa  , Sao Paulo, SP, Brasil;-23.5248831;-46.6914522;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=040014FOZ0000&processo.foro=4&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
RUA CONDE DE SAO JOAQUIM;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BELA VISTA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;43;;;ZEIS-3;2015;Rua Conde de Sao Joaquim, 121, Se, Sao Paulo, SP, Brasil;-23.5571536;-46.63854360000001;;;;;;;;;;;;;;
RUA CONSELHEIRO CARRAO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BELA VISTA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;COHAB;30;;FLM;ZEIS-3;2013;Rua Conselheiro Carrao, 22, Se, Sao Paulo, SP, Brasil;-23.5575747;-46.6442113;;;;;;;;;;;;;;
RUA CONSELHEIRO FURTADO, 875;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;LIBERDADE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;16;;;ZC;2014;Rua Conselheiro Furtado 875, Se, Sao Paulo, SP, Brasil;-23.56075929999999;-46.6326121;;;;;;;;;;;;;;
RUA CORREIA DE ANDRADE;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BRAS;LESTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;12;;;ZC;;Rua Correia de Andrade, 89, Mooca, Sao Paulo, SP, Brasil;-23.5437135;-46.6194579;;;;;;;;;;;;;;
"RUA DA BARACELA / VILA MARIA ""C""";;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;VILA MARIA;NORTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PUBLICA;CDHU;500;;;ZEIS-2;2016;Rua da Baracela, Vila Maria / Vila Guilherme, Sao Paulo, SP, Brasil;-23.5072844;-46.56107340000001;;;;;;;;;;;;;;
RUA DA INDEPENDENCIA;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;CAMBUCI;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;110;;AMORP;ZC;;Rua da Independencia, 382, SE, Sao Paulo, SP, Brasil;-23.5662943;-46.6185183;;;;;;;;;;;;;;
RUA DAS ROLINHAS;;AMEACA DE REMOCAO;Terreno ocupado por comunidade desde 1970 corre ameaca de remocao de suas 12 familias. A ocupacao se localiza em perimetro do projeto Renova SP.;SAO PAULO;JABAQUARA;SUL 1;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;12;;;;;;-23.65659120092145;-46.641726381579986;;;;;;;;;;;;;;
RUA DIOGO PIRES;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;JAGUARE;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;;250;;;ZEIS-1;1973;Rua Diogo Pires, 74, Lapa, Sao Paulo, SP, Brasil;-23.5414094;-46.74744669999999;;;;;;;;;;;;;;
RUA DOS CREPIS;;AMEACA DE REMOCAO;Terreno ocupado desde 1980 por 4 familias corre risco de remocao. Se localiza na regiao de atuacao da Operacao Urbana Consorciada Bairros do Tamanduatei.;SAO PAULO;VILA PRUDENTE;LESTE 1;Dados oficiais – Habisp;SIM;PARCERIAS PUBLICO PRIVADAS;OUC Bairros do Tamanduatei;TERRENO VAZIO;PUBLICA;PREFEITURA;4;;;;;R. dos Crepis, 2-218 - Vila Bela, Sao Paulo - SP, 321-53, Brazil;-23.598526148162000;-46.573710122719200;;;;;;;;;;;;;;
RUA DOS PIEMONTESES;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;RAPOSO TAVARES;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE RISCO;Solo contaminado;TERRENO VAZIO;PUBLICA;;500;;Associacao de Apoio Social Jardim Joao XXIII e da Associacao de Moradores da Raposo Tavares;ZPI;2014;Rua dos Piemonteses, 78, Butanta, Sao Paulo, SP, Brasil;-23.5824272;-46.78345050000001;;;;;;;;;;;;;;
RUA DOUTOR CESARIO MOTA JUNIOR;;AMEACA DE REMOCAO;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;CONSOLACAO;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;200;;MLSM- Movimento de Luta Social por Moradia;ZEU;2017;Rua Doutor Cesario Mota Junior, 614, Se, Sao Paulo, SP, Brasil;-23.5472212;-46.64912969999999;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2S000O7QQ0000&processo.foro=100&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
RUA ENGENHEIRO GUARACY TORRES;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;GRAJAU;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PUBLICA;CTEEP;66;;;ZEIS-1 / ZEUPa / ZC-ZEIS;2005;Rua Engenheiro Guaracy Torres, 6, Capela do Socorro, Sao Paulo, SP, Brasil;-23.7572259;-46.6670426;;;;;;;;;;;;;;
RUA FAUSTOLO, 77;;AMEACA DE REMOCAO;Ameaca de remocao mapeada (sem atuacao) pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo;SAO PAULO;LAPA;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;;21;;Terra Livre;ZEM;2017;Rua Faustolo, 77, Lapa, Sao Paulo, SP, Brasil;-23.524016;-46.68622800000001;;;;;;;;;;;;;;
RUA FORTALEZA;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BELA VISTA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;10;;;ZEU;2014;Rua Fortaleza, 198, Se, Sao Paulo, SP, Brasil;-23.5597511;-46.644984;;;;;;;;;;;;;;
RUA FRANCISCO FANGANIELLO;;AMEACA DE REMOCAO;Ameaca de remocao mapeada (sem atuacao) pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo;SAO PAULO;VILA MARIA;NORTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;30;;;ZDE-1;;Rua Francisco Fanganiello, 437, Vila Maria / Vila Guilherme, Sao Paulo, SP, Brasil;-23.5189445;-46.5624068;;;;;;;;;;;;;;
RUA INTEGRADA / AMERICANOPOLIS;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;134;;;ZEIS-1;;Rua Integrada, 35, Campo Limpo, Sao Paulo, SP, Brasil;-23.6649882;-46.77763150000001;;;;;;;;;;;;;;
RUA JERONIMO PEDROSO DE BARROS;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;LAJEADO;LESTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;;37;;;ZEIS-1;2015;"Rua Jeronimo Pedroso
Barros, 157, Guaianases, Sao Paulo, SP, Brasil";-23.524518;-46.3910733;;;;;;;;;;;;;;
RUA JOAO MOURA;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;JARDIM PAULISTA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;14;;;ZEU;2018;Rua Joao Moura, 425, Pinheiros, Sao Paulo, SP, Brasil;-23.5615251;-46.6770314;;;;;;;;;;;;;;
RUA JOAO MOURA 739;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;JARDIM PAULISTA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;4;;;ZC;2018;Rua Joao Moura, 737, Pinheiros, Sao Paulo, SP, Brasil;-23.5591294;-46.67870929999999;;;;;;;;;;;;;;
RUA JOSE BONIFACIO, 137;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;COHAB;134;;FLM;ZEIS-3;;Rua Jose Bonifacio, 137, Se, Sao Paulo, SP, Brasil;-23.5490296;-46.6356148;;;;;;;;;;;;;;
RUA JOSE BONIFACIO, 237;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;USP;110;;FLM;ZC;;Rua Jose Bonifacio, 237, Se, Sao Paulo, SP, Brasil;-23.549084;-46.63656199999999;;;;;;;;;;;;;;
RUA JOSE DE ARAGAO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;JARDIM ANGELA;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;;7;;;ZEIS-1;2004;Rua Jose de Aragao, M'Boi Mirim, Sao Paulo, SP, Brasil;-23.6790158;-46.7757904;;;;;;;;;;;;;;
RUA MARGINAL DOIS;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;PEDREIRA;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;;70;;;ZEIS-1;;Rua Marginal Dois, Capela do Socorro, Sao Paulo, SP, Brasil;-23.7137726;-46.65879609999999;;;;;;;;;;;;;;
RUA MARTINIANO DE CARVALHO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BELA VISTA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;7;;;ZEU;;Rua Martiniano de Carvalho, 358, Se, Sao Paulo, SP, Brasil;-23.5619288;-46.6419088;;;;;;;;;;;;;;
RUA MITUTO MIZUMOTO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;LIBERDADE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;17;;;ZC;;Rua Mituto Mizumoto, 285, Se, Sao Paulo, SP, Brasil;-23.559246;-46.631846;;;;;;;;;;;;;;
RUA PAIS DE ANDRADE;;AMEACA DE REMOCAO;Ameaca de remocao mapeada (sem atuacao) pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo;SAO PAULO;LIBERDADE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;11;;;ZMa;2015;Rua Pais de Andrade, 59, Se, Sao Paulo, SP, Brasil;-23.5669657;-46.63261849999999;;;;;;;;;;;;;;
RUA PRESIDENTE COSTA PINTO;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;CAMBUCI;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;25;;;ZM;2015;Rua Presidente Costa Pinto, 164, Se, Sao Paulo, SP, Brasil;-23.5668267;-46.6084345;;;;;;;;;;;;;;
RUA PROF. CARLOS DA SILVEIRA / PENHA;;AMEACA DE REMOCAO;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;CANGAIBA;LESTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PRIVADA;;9;;;ZM;;Rua Professor Carlos da Silveira, 448, Penha, Sao Paulo, SP, Brasil;-23.50540209999999;-46.52710510000001;;;;;;;;;;;;;;
RUA PROF. NELSON DE SENNA;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;JABAQUARA;SUL 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;14;;FLM;ZC;2016;Rua Professor Nelson Senna, 64, Jabaquara, Sao Paulo, SP, Brasil;-23.6578774;-46.6540436;;;;;;;;;;;;;;
RUA ROBERTO CORREIA;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;PIRITUBA;NORTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;26;;;;2015;Rua Roberto Correia, Pirituba / Jaragua, Sao Paulo, SP, Brasil;-23.4574074;-46.7170241;;;;;;;;;;;;;;
RUA SANTO ANTONIO 941;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;BELA VISTA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;28;;;ZEU;2014;Rua Santo Antonio, 941, Se, Sao Paulo, SP, Brasil;-23.5531592;-46.6468034;;;;;;;;;;;;;;
RUA SAO FRANCISCO 77;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SE;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;COHAB;28;;FLM;ZEIS-3;;Rua Sao Francisco, 77, Se, Sao Paulo, SP, Brasil;-23.5491062;-46.6382107;;;;;;;;;;;;;;
RUA SEBASTIAO MOREIRA;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;IGUATEMI;LESTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;;10;;ASSOCIACOES DE MORADORES DA COMUNIDADE CICERO IBIAPINA;ZEIS-2 / Zma;2017;Rua Sebastiao Moreira, Sao Mateus, Sao Paulo, SP, Brasil;-23.6014932;-46.45612329999999;;;;;;;;;;;;;;
RUA SETE DE ABRIL;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;REPUBLICA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;286;;UAMP;ZEIS-3;2012;Rua Sete de Abril, 176, Se , Sao Paulo, SP, Brasil;-23.5462309;-46.6409529;;;;;;;;;;;;;;
